RCRC_ID_key,District,Township,Village,Sub-Village,LastName,FirstName,Gender,ID_type,ID_nb,Birth_date,Address,Mobile_nb,Mobile_Provider,HH_nb,Male_nb,Female_nb,Children_nb,Criteria1,Criteria2,CriteriaN,VoucherNB,Commod1,Commod2,Commod3,Commod4,CommodN,Planned_dist_date
20,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
21,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
22,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
23,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
24,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
25,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
26,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
27,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
28,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
29,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
30,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
31,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
32,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
33,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
34,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
35,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
36,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
37,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
38,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
39,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
40,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
41,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
42,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
43,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
44,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
45,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
46,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
47,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
48,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
49,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
50,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
51,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
52,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
53,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
54,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
55,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
56,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
57,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
58,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
59,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
60,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
61,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
62,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
63,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
64,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
65,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
66,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
67,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
68,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
69,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
70,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
71,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
72,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
73,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
74,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
75,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
76,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
77,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
78,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
79,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
80,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
81,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
82,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
83,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
84,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
85,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
86,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
87,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
88,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
89,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
90,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
91,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
92,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
93,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
94,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
95,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
96,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
97,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
98,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
99,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
100,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
101,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
102,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
103,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
104,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
105,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
106,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
107,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
108,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
109,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
110,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
111,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
112,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
113,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
114,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
115,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
116,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
117,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
118,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
119,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
120,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
121,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
122,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
123,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
124,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
125,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
126,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
127,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
128,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
129,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
130,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
131,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
132,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
133,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
134,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
135,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
136,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
137,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
138,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
139,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
140,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
141,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
142,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
143,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
144,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
145,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
146,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
