_id,_form_id,refrigerator_id,model_row_id,tracking_id,year,working_status,reason_not_working,utilization,voltage_regulator,power_source,facility_row_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
R21,,R21,M49,328A50066,2009,unservicable,needs_spare_parts,not_in_use,unknown,solar,H450,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R22,,R22,M43,328A50066,2009,unservicable,needs_spare_parts,in_store_for_allocation,unknown,electricity,H450,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R23,,R23,M55,9431187,2016,functioning,not_applicable,in_use,unknown,unknown,H437,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R24,,R24,M65,20011902072,2016,functioning,not_applicable,in_use,unknown,electricity,H438,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R25,,R25,M61,942075,2016,functioning,not_applicable,in_use,unknown,electricity,H439,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R26,,R26,M10,20011304492,2009,functioning,not_applicable,in_use,unknown,electricity,H440,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R27,,R27,M49,327A50025,2009,functioning,not_applicable,in_use,unknown,solar,H441,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R28,,R28,M19,3267,2017,functioning,not_applicable,in_use,unknown,electricity,H442,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R29,,R29,M42,9393210,2015,functioning,not_applicable,in_use,unknown,electricity,H451,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R30,,R30,M34,9431953,2016,functioning,not_applicable,in_use,unknown,electricity,H452,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R31,,R31,M61,2212101,2009,functioning,not_applicable,in_use,unknown,electricity,H453,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R32,,R32,M55,2212048,2016,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R33,,R33,M58,2212123,2006,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R34,,R34,M52,4900015,2004,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R35,,R35,M51,22500175,2004,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R36,,R36,M67,98130039,2004,functioning,not_applicable,in_use,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R37,,R37,M8,2205058,2007,functioning,not_applicable,in_use,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R38,,R38,M51,22000052,2002,functioning,not_applicable,in_use,unknown,unknown,H745,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R39,,R39,M19,64800117,2009,functioning,not_applicable,in_use,unknown,electricity,H746,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R40,,R40,M11,20011902035,2010,unservicable,no_finance,not_in_use,unknown,electricity,H248,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R41,,R41,M19,41926,2016,functioning,not_applicable,in_use,unknown,electricity,H248,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R42,,R42,M8,2215042,2009,functioning,not_applicable,in_use,unknown,electricity,H248,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R43,,R43,M55,2212048,2011,functioning,dead,in_use,unknown,unknown,H249,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R44,,R44,M51,61000089,2011,functioning,not_applicable,in_use,unknown,unknown,H250,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R45,,R45,M11,20011901993,2014,functioning,not_applicable,in_use,unknown,electricity,H251,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R46,,R46,M25,3281,2008,functioning,not_applicable,in_use,unknown,unknown,H252,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R47,,R47,M55,9420767,2016,functioning,not_applicable,in_use,unknown,unknown,H253,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R48,,R48,M64,327A50040,2017,unservicable,needs_spare_parts,not_in_use,unknown,electricity,H253,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R49,,R49,M49,328A50043,2012,functioning,not_applicable,in_use,unknown,solar,H254,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R50,,R50,M55,9420813,2016,functioning,not_applicable,in_use,unknown,unknown,H255,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R51,,R51,M49,328A50075,2012,unservicable,no_finance,in_use,unknown,solar,H255,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R52,,R52,M55,9460315,2017,functioning,not_applicable,in_use,unknown,unknown,H256,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R53,,R53,M51,22500089,2009,functioning,not_applicable,in_use,unknown,unknown,H257,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R54,,R54,M55,9460312,2016,functioning,not_applicable,in_use,unknown,unknown,H258,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R55,,R55,M55,9460316,2016,functioning,not_applicable,in_use,unknown,unknown,H259,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R56,,R56,M25,3152,2011,functioning,not_applicable,not_in_use,unknown,unknown,H259,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R57,,R57,M55,9420785,2016,functioning,not_applicable,in_use,unknown,unknown,H260,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R58,,R58,M51,33700004,2012,functioning,not_applicable,in_use,unknown,unknown,H261,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R59,,R59,M25,19849,2016,unservicable,no_finance,not_in_use,unknown,unknown,H261,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R60,,R60,M25,10832,2002,functioning,not_applicable,in_use,unknown,unknown,H262,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R61,,R61,M51,22500203,2012,functioning,not_applicable,in_use,unknown,unknown,H263,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R62,,R62,M57,10831,2010,functioning,not_applicable,in_use,unknown,unknown,H264,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R63,,R63,M19,950247,2008,functioning,not_applicable,in_use,unknown,electricity,H265,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R64,,R64,M55,9420750,2016,functioning,not_applicable,in_use,unknown,unknown,H265,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R65,,R65,M34,9431971,2015,functioning,not_applicable,in_use,unknown,electricity,H266,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R66,,R66,M51,64800194,2001,functioning,not_applicable,in_use,unknown,unknown,H267,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R67,,R67,M39,127,1993,unservicable,dead,not_in_use,unknown,solar,H267,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R68,,R68,M55,9460337,2016,functioning,not_applicable,in_use,unknown,unknown,H268,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R69,,R69,M25,3344,2008,functioning,not_applicable,in_use,unknown,unknown,H268,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R70,,R70,M55,9460310,2017,functioning,not_applicable,in_use,unknown,unknown,H269,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R71,,R71,M39,108,1995,unservicable,dead,not_in_use,unknown,solar,H269,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R72,,R72,M25,3184,2008,functioning,not_applicable,not_in_use,unknown,unknown,H269,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R73,,R73,M51,22500068,2013,functioning,not_applicable,in_use,unknown,unknown,H270,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R74,,R74,M51,22000051,2011,functioning,not_applicable,in_use,unknown,unknown,H271,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R75,,R75,M51,61000142,2000,functioning,no_fuel,not_in_use,unknown,unknown,H272,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R76,,R76,M39,130,1996,unservicable,dead,in_store_for_allocation,unknown,solar,H272,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R77,,R77,M55,9460307,2016,functioning,not_applicable,in_use,unknown,unknown,H273,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R78,,R78,M64,328A50078,2011,unservicable,needs_spare_parts,not_in_use,unknown,electricity,H274,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R79,,R79,M51,22400067,2011,functioning,not_applicable,in_use,unknown,unknown,H274,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R80,,R80,M51,22000226,2010,functioning,not_applicable,in_use,unknown,unknown,H275,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R81,,R81,M51,22000210,2011,functioning,not_applicable,in_use,unknown,unknown,H276,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R82,,R82,M51,61000095,2007,functioning,no_fuel,in_use,unknown,unknown,H277,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R83,,R83,M34,9431967,2016,functioning,not_applicable,in_use,unknown,electricity,H278,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R84,,R84,M54,80200085,2013,functioning,not_applicable,in_use,unknown,unknown,H279,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R85,,R85,M52,22400107,2014,unservicable,needs_spare_parts,not_in_use,unknown,unknown,H280,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R86,,R86,M58,9401293,2016,functioning,not_applicable,in_use,unknown,unknown,H280,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R87,,R87,M8,2215050,2010,functioning,not_applicable,in_use,unknown,electricity,H281,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R88,,R88,M67,AE98130041,2008,functioning,not_applicable,in_use,unknown,electricity,H281,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R89,,R89,M11,20011901987,2008,functioning,not_applicable,in_use,unknown,electricity,H281,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R90,,R90,M52,50900049,2008,functioning,not_applicable,in_use,unknown,unknown,H282,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R91,,R91,M51,22500150,2010,functioning,not_applicable,in_use,unknown,unknown,H283,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R92,,R92,M52,950245,2008,awaiting_repair,needs_spare_parts,not_in_use,unknown,unknown,H284,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R93,,R93,M51,222000171,2009,functioning,not_applicable,in_use,unknown,unknown,H284,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R94,,R94,M51,22500141,2010,functioning,not_applicable,in_use,unknown,unknown,H285,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R95,,R95,M26,328A50073,2011,unservicable,needs_spare_parts,not_in_use,unknown,solar,H285,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R96,,R96,M51,22500069,2010,functioning,not_applicable,in_use,unknown,unknown,H286,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R97,,R97,M34,9431920,2016,functioning,not_applicable,in_use,unknown,electricity,H91,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R98,,R98,M15,20011902026,2011,functioning,not_applicable,in_use,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R99,,R99,M8,2205080,2010,functioning,not_applicable,in_use,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R100,,R100,M64,AE98130054,2011,functioning,not_applicable,in_use,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R101,,R101,M64,AE98210005,2011,functioning,not_applicable,in_use,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R102,,R102,M19,100261,2004,functioning,needs_spare_parts,in_store_for_allocation,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R103,,R103,M19,6320047,2005,functioning,not_applicable,in_store_for_allocation,unknown,electricity,H92,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R104,,R104,M52,22400122,2013,unservicable,dead,not_in_use,unknown,unknown,H92,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R105,,R105,M58,9401250,2011,functioning,not_applicable,in_store_for_allocation,unknown,unknown,H92,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R106,,R106,M54,61000134,2010,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H92,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R107,,R107,M51,22500178,2010,functioning,not_applicable,in_use,unknown,unknown,H93,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R108,,R108,M19,109147640,1996,functioning,not_applicable,in_use,unknown,electricity,H94,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R109,,R109,M11,20011902079,2007,unservicable,not_applicable,not_in_use,unknown,electricity,H94,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R110,,R110,M54,42100001,2007,functioning,not_applicable,in_use,unknown,unknown,H95,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R111,,R111,M52,22400166,2006,unservicable,needs_spare_parts,not_in_use,unknown,unknown,H95,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R112,,R112,M51,22500179,2011,functioning,not_applicable,in_use,unknown,unknown,H96,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R113,,R113,M58,9401302,2016,functioning,not_applicable,in_use,unknown,unknown,H97,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R114,,R114,M54,42500041,2010,unservicable,needs_spare_parts,not_in_use,unknown,unknown,H97,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R115,,R115,M52,22400015,2011,unservicable,no_fuel,not_in_use,unknown,unknown,H98,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R116,,R116,M49,327A50029,2007,functioning,not_applicable,in_use,unknown,solar,H98,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R117,,R117,M25,19527,2016,functioning,not_applicable,in_use,unknown,unknown,H99,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R118,,R118,M57,19707,2015,functioning,not_applicable,in_use,unknown,unknown,H100,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R119,,R119,M57,GR9241,2005,functioning,no_fuel,not_in_use,unknown,unknown,H100,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R120,,R120,M49,327A50013,2007,unservicable,needs_spare_parts,not_in_use,unknown,solar,H100,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R121,,R121,M58,9401279,2016,functioning,not_applicable,in_use,unknown,unknown,H101,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R122,,R122,M31,3299,2015,unservicable,no_fuel,not_in_use,unknown,unknown,H101,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R123,,R123,M52,22400031,2011,unservicable,dead,not_in_use,unknown,unknown,H101,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R124,,R124,M32,950562,2016,functioning,not_applicable,in_use,unknown,solar,H102,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R125,,R125,M54,80200061,2008,unservicable,no_fuel,not_in_use,unknown,unknown,H102,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R126,,R126,M32,930369,2016,functioning,not_applicable,in_use,unknown,solar,H103,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R127,,R127,M52,22400020,2006,unservicable,no_fuel,not_in_use,unknown,unknown,H104,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R128,,R128,M54,80200084,2007,functioning,not_applicable,in_use,unknown,unknown,H104,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R129,,R129,M11,20011902029,2014,functioning,not_applicable,in_use,unknown,electricity,H457,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R130,,R130,M64,52611849,2010,unservicable,no_finance,not_in_use,unknown,electricity,H458,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R131,,R131,M55,9420829,2016,functioning,not_applicable,in_use,unknown,unknown,H226,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R132,,R132,M52,61000112,2001,functioning,not_applicable,in_use,unknown,unknown,H226,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R133,,R133,M8,2205038,2015,functioning,not_applicable,in_use,unknown,electricity,H458,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R134,,R134,M65,20011902019,2014,functioning,not_applicable,in_use,unknown,electricity,H458,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R135,,R135,M65,20011902066,2014,functioning,not_applicable,in_use,unknown,electricity,H458,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R136,,R136,M63,9431944,2010,functioning,not_applicable,in_use,unknown,electricity,H458,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R137,,R137,M55,9460320,2016,awaiting_repair,needs_spare_parts,not_in_use,unknown,unknown,H227,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R138,,R138,M58,9401298,2016,awaiting_repair,needs_spare_parts,not_in_use,unknown,unknown,H228,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R139,,R139,M52,61000158,1996,functioning,not_applicable,in_use,unknown,unknown,H229,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R140,,R140,M49,328A50068,2010,functioning,not_applicable,in_use,unknown,solar,H230,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R141,,R141,M58,9460318,2016,functioning,not_applicable,in_use,unknown,unknown,H231,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R142,,R142,M58,9420806,2016,functioning,not_applicable,in_use,unknown,unknown,H232,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R143,,R143,M49,328A50056,2010,awaiting_repair,needs_spare_parts,not_in_use,unknown,solar,H232,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R144,,R144,M8,2215088,2010,functioning,not_applicable,in_use,unknown,electricity,H233,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R145,,R145,M8,2215054,2010,unservicable,no_finance,not_in_use,unknown,electricity,H233,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R146,,R146,M15,20100820126,2007,functioning,not_applicable,in_use,unknown,electricity,H233,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R147,,R147,M34,941961,2016,unservicable,needs_spare_parts,not_in_use,unknown,electricity,H233,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R148,,R148,M53,22000043,2012,functioning,not_applicable,in_use,unknown,unknown,H234,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R149,,R149,M11,20011902040,2013,functioning,not_applicable,in_use,unknown,electricity,H235,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R150,,R150,M58,2212139,2007,unservicable,no_fuel,not_in_use,unknown,unknown,H236,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R151,,R151,M11,20011902055,2013,functioning,not_applicable,in_use,unknown,electricity,H237,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R152,,R152,M30,9431969,2016,functioning,not_applicable,in_use,unknown,electricity,H237,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R153,,R153,M58,9401287,2016,functioning,not_applicable,in_use,unknown,unknown,H238,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R154,,R154,M51,22000225,2014,functioning,not_applicable,in_use,unknown,unknown,H239,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R155,,R155,M58,2212138,2010,functioning,not_applicable,in_use,unknown,unknown,H240,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R156,,R156,M52,22400050,2009,functioning,not_applicable,in_use,unknown,unknown,H241,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R157,,R157,M19,A005180545,2011,functioning,not_applicable,in_use,unknown,electricity,H242,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R158,,R158,M52,4900025,2012,functioning,not_applicable,in_use,unknown,unknown,H243,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R159,,R159,M49,328A50044,2010,unservicable,needs_spare_parts,in_store_for_allocation,unknown,solar,H243,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R160,,R160,M67,A006460044,2004,functioning,not_applicable,in_use,unknown,electricity,H244,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R161,,R161,M19,CA852800448,2014,functioning,not_applicable,in_use,unknown,electricity,H245,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R162,,R162,M15,20011901957,2010,functioning,not_applicable,in_use,unknown,electricity,H245,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R163,,R163,M53,22500159,2010,functioning,not_applicable,in_use,unknown,unknown,H246,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R164,,R164,M49,7628,2010,unservicable,needs_spare_parts,not_in_use,unknown,solar,H246,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
